Naam,Locatie (straat),Locatie (GPS Latitude),Locatie (GPS Longtitude),Tijdigheid camera,Geplaatst op,Wordt verwijderd op,Eigenaar camera,Afdeling,Doel van de camera,Omschrijving
UTR-CM-563,Croeselaan / Mineurslaan thv Rabobank,52.08661,5.10781,Vast,,,Gemeente Utrecht,,Centraal Toezicht Openbaar Vervoer,nvt
UTR-CM-529,Van Sijpesteijntunnel,52.09147,5.10767,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-PAR-927,Overste Den Oudenlaan Kon. Wilhelminalaan,52.07694,5.10759,Vast,,,Particulier,,Particuliere camerabewaking,nvt
UTR-PAR-923,Winthontlaan,52.06159,5.107453,Vast,,,Particulier,,Particuliere camerabewaking,nvt
UTR-SB-133,BC Hoogtstraat,52.10643,5.10736,Vast,,,Gemeente Utrecht,BOR,Veilig gebruik brug,Bruggen: Roode Brug
UTR-PAR-930,Bastion,52.05839,5.107327,Vast,,,Particulier,,Particuliere camerabewaking,nvt
UTR-PAR-978,Australiëlaan Europalaan,52.06461,5.107039,Vast,,,Particulier,,Particuliere camerabewaking,nvt
UTR-CM-564,Croeselaan / Mineurslaan thv Beatrixgebou,52.08747,5.10684,Vast,,,Gemeente Utrecht,,Centraal Toezicht Openbaar Vervoer,nvt
UTR-CM-558,Jaarbeursplein trapopgang,52.08908,5.106838,Vast,,,Gemeente Utrecht,,Centraal Toezicht Openbaar Vervoer,nvt
UTR-CM-562,Jaarbeursplein thv Beatrixgebouw,52.08823,5.1063,Vast,,,Gemeente Utrecht,,Centraal Toezicht Openbaar Vervoer,nvt
UTR-CM-559,Jaarbeursplein / Skatebaan,52.08884,5.10628,Vast,,,Gemeente Utrecht,,Centraal Toezicht Openbaar Vervoer,nvt
UTR-OOR-009,Jaarbeursplein - Mineurslaan,52.08994,5.106147,Vast,01/03/2022,,Gemeente Utrecht,OOR,Visuele inspectie op afwikkeling verkeer,Live beelden worden beoordeeld om onveilige situatie waar te nemen en na onderzoek acties te kunnen toepassen.
UTR-CM-530,Van Sijpesteijnkade / Westplein,52.09066,5.10584,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-OOR-007,Westplein - Leidseveertunnel,52.09175,5.105814,Vast,01/03/2022,,Gemeente Utrecht,OOR,Visuele inspectie op afwikkeling verkeer,Live beelden worden beoordeeld om onveilige situatie waar te nemen en na onderzoek acties te kunnen toepassen.
UTR-PAR-974,Hollantlaan Europalaan,52.06176,5.105709,Vast,,,Particulier,,Particuliere camerabewaking,nvt
UTR-SB-122,Griffioenlaan 1bis,52.05719,5.10563,Vast,,,Gemeente Utrecht,VgE,Bescherming eigendommen / personen,Bereikbaarheid: P+R Westraven
